kinetic_Energy(MeV) Momentum(MeV/c)   qx(cell)   qy(cell)    Q_x   Q_y	 Radius(m)  Ave_radius(m) tau_cell(micro_sec)   revolu_time(micro_sec)
111 469.7	0.317193 0.108375 3.80632 1.3005	5.07823	5.28622 2.062490E-02 0.247499
112 471.929	0.317056 0.10814 3.80467 1.29768	5.08103	5.289 2.055781E-02 0.246694
113 474.151	0.317062 0.107902 3.80474 1.29482	5.08381	5.29177 2.049174E-02 0.245901
114 476.364	0.317141 0.107628 3.80569 1.29154	5.08657	5.29458 2.042677E-02 0.245121
115 478.569	0.316944 0.107394 3.80333 1.28873	5.0893	5.29727 2.036233E-02 0.244348
116 480.765	0.316798 0.107129 3.80158 1.28555	5.09203	5.29994 2.029874E-02 0.243585
117 482.954	0.317148 0.106941 3.80578 1.28329	5.09473	5.30263 2.023617E-02 0.242834
118 485.136	0.317165 0.106714 3.80598 1.28057	5.09738	5.30535 2.017461E-02 0.242095
119 487.309	0.316975 0.106512 3.8037 1.27815	5.10002	5.30796 2.011353E-02 0.241362
120 489.475	0.316733 0.106319 3.80079 1.27583	5.10265	5.31054 2.005323E-02 0.240639
121 491.633	0.316763 0.106097 3.80116 1.27316	5.1053	5.31319 1.999404E-02 0.239928
122 493.784	0.316563 0.105875 3.79876 1.2705	5.10791	5.31577 1.993539E-02 0.239225
123 495.928	0.316293 0.105679 3.79552 1.26815	5.11049	5.31832 1.987750E-02 0.23853
124 498.064	0.316288 0.105475 3.79546 1.2657	5.11306	5.32092 1.982057E-02 0.237847
125 500.193	0.316381 0.105259 3.79657 1.26311	5.1156	5.32342 1.976404E-02 0.237168
126 502.316	0.316353 0.105013 3.79624 1.26016	5.11814	5.32589 1.970820E-02 0.236498
127 504.431	0.315959 0.104773 3.79151 1.25728	5.12065	5.32838 1.965319E-02 0.235838
128 506.539	0.315913 0.104505 3.79096 1.25406	5.12314	5.33092 1.959902E-02 0.235188
129 508.641	0.315716 0.104235 3.78859 1.25082	5.12562	5.33335 1.954531E-02 0.234544
130 510.736	0.315645 0.10386 3.78774 1.24632	5.12807	5.33574 1.949212E-02 0.233905
131 512.824	0.315458 0.103457 3.78549 1.24149	5.13051	5.33815 1.943968E-02 0.233276
132 514.906	0.315633 0.102871 3.7876 1.23445	5.13295	5.34061 1.938811E-02 0.232657
133 516.981	0.316141 0.101981 3.79369 1.22377	5.13536	5.34299 1.933695E-02 0.232043
134 519.05	0.316245 0.101061 3.79494 1.21273	5.13774	5.34532 1.928624E-02 0.231435
135 521.113	0.316248 0.100246 3.79497 1.20295	5.14012	5.34771 1.923642E-02 0.230837
136 523.169	0.316296 0.0992733 3.79555 1.19128	5.14247	5.35002 1.918695E-02 0.230243
137 525.22	0.316081 0.0984925 3.79297 1.18191	5.14482	5.35233 1.913809E-02 0.229657
138 527.264	0.316546 0.0980458 3.79855 1.17655	5.14715	5.35458 1.908965E-02 0.229076
139 529.302	0.317522 0.100281 3.81027 1.20337	5.14946	5.35692 1.904211E-02 0.228505
